farm,region,zone,district,lon,lat,altitude,cultivar,shade,cropping_system,farm_management,inc,sev2
1,SNNPR,Bench Maji,Debub Bench,35.442499999999995,6.904722222222222,1100,Local,Sun,Plantation,Unmanaged,86.7080535556397,55.57986232916504
2,SNNPR,Bench Maji,Debub Bench,35.442499999999995,6.904722222222222,1342,Mixture,Mid shade,Plantation,Minimal,51.343537414966,17.90349149659864
3,SNNPR,Bench Maji,Debub Bench,35.42861111111111,6.904444444444445,1434,Mixture,Mid shade,Plantation,Minimal,43.2,8.2512
4,SNNPR,Bench Maji,Debub Bench,35.42861111111111,6.904444444444445,1100,Local,Sun,Plantation,Unmanaged,76.7080535556397,46.10154018693946
5,SNNPR,Bench Maji,Debub Bench,35.42861111111111,6.904444444444445,1400,Local,Sun,Plantation,Unmanaged,47.1580832960143,12.251670040304516
6,SNNPR,Bench Maji,Debub Bench,35.39222222222222,6.903333333333333,1342,Mixture,Mid shade,Plantation,Minimal,51.343537414966,19.91102380952382
7,SNNPR,Bench Maji,Debub Bench,35.393055555555556,6.904444444444445,1432,Mixture,Mid shade,Plantation,Minimal,48.2670487056803,11.907480915691332
8,SNNPR,Bench Maji,Debub Bench,35.39416666666666,6.895555555555555,1100,Local,Sun,Plantation,Unmanaged,86.7080535556397,55.57986232916504
9,SNNPR,Bench Maji,Debub Bench,35.39555555555555,6.893055555555555,1400,Local,Sun,Plantation,Unmanaged,47.1580832960143,11.553730407523503
10,SNNPR,Bench Maji,Debub Bench,35.37083333333334,6.881388888888889,1342,Mixture,Mid shade,Plantation,Minimal,51.14,11.370867826086956
11,SNNPR,Bench Maji,Debub Bench,35.370555555555555,6.881388888888889,1432,Mixture,Mid shade,Plantation,Minimal,48.2670487056803,16.579731230401183
12,SNNPR,Bench Maji,Debub Bench,35.370555555555555,6.873611111111112,1100,Local,Sun,Plantation,Unmanaged,75.96,45.712728
13,SNNPR,Bench Maji,Debub Bench,35.37083333333334,6.883333333333333,1400,Local,Sun,Plantation,Unmanaged,47.39,11.648462
14,SNNPR,Bench Maji,Debub Bench,35.36083333333333,6.895555555555555,1342,Mixture,Mid shade,Plantation,Minimal,51.343537414966,22.067452380952385
15,SNNPR,Bench Maji,Debub Bench,35.39555555555555,6.927222222222222,1432,Mixture,Mid shade,Plantation,Minimal,48.2670487056803,10.129165177202237
16,SNNPR,Bench Maji,Guraferda,35.481944444444444,6.959722222222222,1023,Local,Sun,Plantation,Unmanaged,53.17,26.159640000000007
17,SNNPR,Bench Maji,Guraferda,35.481944444444444,6.9591666666666665,1245,Mixture,Mid shade,Garden,Minimal,34.6,6.8058200000000015
18,SNNPR,Bench Maji,Guraferda,35.481388888888894,6.952777777777778,1023,Local,Sun,Plantation,Unmanaged,38.42,15.7522
19,SNNPR,Bench Maji,Guraferda,35.42916666666667,6.943611111111111,1323,Mixture,Mid shade,Garden,Minimal,32.5,6.487
20,SNNPR,Bench Maji,Guraferda,35.53805555555555,6.952500000000001,1023,Local,Sun,Plantation,Unmanaged,52.21,24.778866
21,SNNPR,Bench Maji,Guraferda,35.32916666666667,6.859999999999999,1567,Mixture,Mid shade,Garden,Minimal,38.43,12.159252
22,SNNPR,Bench Maji,Guraferda,35.44222222222223,6.9366666666666665,1023,Local,Sun,Plantation,Unmanaged,48.42,12.782880000000002
23,SNNPR,Bench Maji,Guraferda,35.4425,6.936944444444444,1867,Mixture,Mid shade,Garden,Minimal,32.5,2.3074999999999997
24,SNNPR,Bench Maji,Guraferda,35.19611111111111,6.771944444444444,1023,Local,Sun,Plantation,Unmanaged,48.45,19.220115
25,SNNPR,Bench Maji,Guraferda,35.19472222222222,6.771388888888889,1023,Local,Sun,Plantation,Unmanaged,39.56,11.571299999999999
26,SNNPR,Bench Maji,Guraferda,35.19472222222222,6.768888888888889,1023,Local,Sun,Plantation,Unmanaged,56.86,19.821396000000004
27,SNNPR,Bench Maji,Guraferda,35.3275,6.866666666666667,1023,Local,Sun,Plantation,Unmanaged,56.8,22.51552
28,SNNPR,Bench Maji,Guraferda,35.254444444444445,6.8116666666666665,1023,Local,Sun,Plantation,Unmanaged,71.4,35.52864
29,SNNPR,Bench Maji,Guraferda,35.465833333333336,6.811944444444444,1023,Local,Sun,Plantation,Unmanaged,42.89,15.783520000000001
30,SNNPR,Bench Maji,Guraferda,35.465833333333336,6.812222222222222,1023,Local,Sun,Plantation,Unmanaged,48.32,16.81536
31,SNNPR,Bench Maji,Sheko,35.465833333333336,7.038888888888889,1167,Local,Sun,Plantation,Unmanaged,72.2,26.714
32,SNNPR,Bench Maji,Sheko,35.46416666666667,7.039722222222222,1598,Mixture,Mid shade,Semiforest,Minimal,24.3,4.01922
33,SNNPR,Bench Maji,Sheko,35.46194444444445,7.0408333333333335,1167,Local,Sun,Plantation,Unmanaged,72.1,26.677
34,SNNPR,Bench Maji,Sheko,35.431666666666665,7.0713888888888885,1598,Mixture,Mid shade,Semiforest,Minimal,33.2,8.05432
35,SNNPR,Bench Maji,Sheko,35.4175,7.072222222222222,1167,Local,Sun,Plantation,Unmanaged,69.86,23.899106
36,SNNPR,Bench Maji,Sheko,35.465833333333336,7.072777777777778,1598,Mixture,Mid shade,Semiforest,Minimal,23.66,4.365270000000001
37,SNNPR,Bench Maji,Sheko,35.4175,7.072222222222222,1167,Local,Sun,Plantation,Unmanaged,56.8488135795828,19.47071865100711
38,SNNPR,Bench Maji,Sheko,35.42194444444444,7.106944444444444,1598,Mixture,Mid shade,Semiforest,Minimal,22.2,3.5964000000000005
39,SNNPR,Bench Maji,Sheko,35.436388888888885,7.1225,1167,Local,Sun,Plantation,Unmanaged,68.8,25.318399999999997
40,SNNPR,Bench Maji,Sheko,35.43583333333333,7.1225,1167,Local,Sun,Plantation,Unmanaged,56.8488135795828,19.447979125575277
41,SNNPR,Bench Maji,Sheko,35.43527777777778,7.123055555555555,1498,Mixture,Mid shade,Semiforest,Minimal,32.2,6.2146
42,SNNPR,Bench Maji,Sheko,35.43666666666666,7.123055555555555,1167,Local,Sun,Plantation,Unmanaged,56.8488135795828,19.447979125575277
43,SNNPR,Bench Maji,Sheko,35.41972222222222,7.183611111111111,1598,Mixture,Mid shade,Semiforest,Minimal,22.2,3.1435200000000005
44,SNNPR,Bench Maji,Sheko,35.41972222222222,7.183611111111111,1167,Local,Sun,Plantation,Unmanaged,61.23,23.395982999999998
45,SNNPR,Bench Maji,Sheko,35.419999999999995,7.1825,1598,Mixture,Mid shade,Semiforest,Minimal,22.2,2.9082
46,SNNPR,Sheka,Yeki,35.419999999999995,7.1825,1200,Local,Sun,Plantation,Unmanaged,81.8,47.035
47,SNNPR,Sheka,Yeki,35.419999999999995,7.1825,1456,Mixture,Mid shade,Garden,Minimal,29.54,8.06442
48,SNNPR,Sheka,Yeki,35.419999999999995,7.1825,1389,Mixture,Mid shade,Garden,Moderate,31.52,8.951679999999998
49,SNNPR,Sheka,Yeki,35.420833333333334,7.182777777777778,1200,Local,Sun,Plantation,Unmanaged,54.54,19.236258
50,SNNPR,Sheka,Yeki,35.41722222222222,7.169444444444445,1372,Local,Sun,Plantation,Unmanaged,74.53,34.604279
51,SNNPR,Sheka,Yeki,35.41722222222222,7.169444444444445,1456,Mixture,Mid shade,Garden,Minimal,32.74,8.93802
52,SNNPR,Sheka,Yeki,35.41722222222222,7.169444444444445,1389,Mixture,Mid shade,Garden,Minimal,42.43,14.655321999999998
53,SNNPR,Sheka,Yeki,35.41722222222222,7.169444444444445,1200,Local,Sun,Plantation,Unmanaged,74.23,31.829824000000006
54,SNNPR,Sheka,Yeki,35.31333333333333,7.48,1372,Local,Sun,Plantation,Unmanaged,76.89,29.410425
55,SNNPR,Sheka,Yeki,35.3075,7.487777777777778,1234,Improved,Full shade,Semiforest,Intensive,33.2,6.0756000000000006
56,SNNPR,Sheka,Yeki,35.41722222222222,7.169444444444445,1376,Improved,Full shade,Semiforest,Intensive,23.87,3.1031000000000004
57,SNNPR,Sheka,Yeki,35.324444444444445,7.072222222222222,1200,Local,Sun,Plantation,Unmanaged,68.68,26.682180000000006
58,SNNPR,Sheka,Yeki,37.63472222222222,7.476666666666667,1372,Local,Sun,Plantation,Unmanaged,72.87,39.546549000000006
59,SNNPR,Sheka,Yeki,35.38472222222222,7.474722222222223,1456,Mixture,Mid shade,Garden,Minimal,34.78,9.49494
60,SNNPR,Sheka,Yeki,35.38361111111111,7.491388888888889,1389,Mixture,Mid shade,Garden,Minimal,42.48,13.882463999999997
61,SNNPR,Sheka,Anderacha,35.39138888888889,7.482777777777778,1634,Mixture,Mid shade,Forest,Moderate,41.7829775588396,16.211795292829763
62,SNNPR,Sheka,Anderacha,35.41722222222222,7.169444444444445,1784,Mixture,Full shade,Semiforest,Moderate,31.34,10.238778
63,SNNPR,Sheka,Anderacha,35.39944444444444,7.621388888888889,1564,Mixture,Full shade,Semiforest,Moderate,33.4,10.7214
64,SNNPR,Sheka,Anderacha,35.501666666666665,7.7380555555555555,1256,Local,Sun,Plantation,Unmanaged,67.89,25.866090000000003
65,SNNPR,Sheka,Anderacha,35.55888888888889,7.78,1634,Mixture,Mid shade,Forest,Moderate,38.88,11.181888000000002
66,SNNPR,Sheka,Anderacha,35.55888888888889,7.778888888888889,1784,Mixture,Full shade,Semiforest,Moderate,31.21,5.758245
